time,LowerSetp,UpperSetp
0,293.15,310
900,293.15,310
1800,293.15,310
2700,293.15,310
3600,293.15,310
4500,293.15,310
5400,293.15,310
6300,293.15,310
7200,293.15,310
8100,293.15,310
9000,293.15,310
9900,293.15,310
10800,293.15,310
11700,293.15,310
12600,293.15,310
13500,293.15,310
14400,293.15,310
15300,293.15,310
16200,293.15,310
17100,293.15,310
18000,293.15,310
18900,293.15,310
19800,293.15,310
20700,293.15,310
21600,293.15,310
22500,293.15,310
23400,293.15,310
24300,293.15,310
25200,293.15,310
26100,293.15,310
27000,293.15,310
27900,293.15,310
28800,293.15,310
29700,293.15,310
30600,293.15,310
31500,293.15,310
32400,293.15,310
33300,293.15,310
34200,293.15,310
35100,293.15,310
36000,293.15,310
36900,293.15,310
37800,293.15,310
38700,293.15,310
39600,293.15,310
40500,293.15,310
41400,293.15,310
42300,293.15,310
43200,293.15,310
44100,293.15,310
45000,293.15,310
45900,293.15,310
46800,293.15,310
47700,293.15,310
48600,293.15,310
49500,293.15,310
50400,293.15,310
51300,293.15,310
52200,293.15,310
53100,293.15,310
54000,293.15,310
54900,293.15,310
55800,293.15,310
56700,293.15,310
57600,293.15,310
58500,293.15,310
59400,293.15,310
60300,293.15,310
61200,293.15,310
62100,293.15,310
63000,293.15,310
63900,293.15,310
64800,293.15,310
65700,293.15,310
66600,293.15,310
67500,293.15,310
68400,293.15,310
69300,293.15,310
70200,293.15,310
71100,293.15,310
72000,293.15,310
72900,293.15,310
73800,293.15,310
74700,293.15,310
75600,293.15,310
76500,293.15,310
77400,293.15,310
78300,293.15,310
79200,293.15,310
80100,293.15,310
81000,293.15,310
81900,293.15,310
82800,293.15,310
83700,293.15,310
84600,293.15,310
85500,293.15,310
86400,293.15,310
87300,293.15,310
88200,293.15,310
89100,293.15,310
90000,293.15,310
90900,293.15,310
91800,293.15,310
92700,293.15,310
93600,293.15,310
94500,293.15,310
95400,293.15,310
96300,293.15,310
97200,293.15,310
98100,293.15,310
99000,293.15,310
99900,293.15,310
100800,293.15,310
101700,293.15,310
102600,293.15,310
103500,293.15,310
104400,293.15,310
105300,293.15,310
106200,293.15,310
107100,293.15,310
108000,293.15,310
108900,293.15,310
109800,293.15,310
110700,293.15,310
111600,293.15,310
112500,293.15,310
113400,293.15,310
114300,293.15,310
115200,293.15,310
116100,293.15,310
117000,293.15,310
117900,293.15,310
118800,293.15,310
119700,293.15,310
120600,293.15,310
121500,293.15,310
122400,293.15,310
123300,293.15,310
124200,293.15,310
125100,293.15,310
126000,293.15,310
126900,293.15,310
127800,293.15,310
128700,293.15,310
129600,293.15,310
130500,293.15,310
131400,293.15,310
132300,293.15,310
133200,293.15,310
134100,293.15,310
135000,293.15,310
135900,293.15,310
136800,293.15,310
137700,293.15,310
138600,293.15,310
139500,293.15,310
140400,293.15,310
141300,293.15,310
142200,293.15,310
143100,293.15,310
144000,293.15,310
144900,293.15,310
145800,293.15,310
146700,293.15,310
147600,293.15,310
148500,293.15,310
149400,293.15,310
150300,293.15,310
151200,293.15,310
152100,293.15,310
153000,293.15,310
153900,293.15,310
154800,293.15,310
155700,293.15,310
156600,293.15,310
157500,293.15,310
158400,293.15,310
159300,293.15,310
160200,293.15,310
161100,293.15,310
162000,293.15,310
162900,293.15,310
163800,293.15,310
