# time: time of price [s],
# PriceElectricPowerDynamic: Price of electricity in dynamic scenario [$/kWh],
time,PriceElectricPowerDynamic
0,0.0206325
900,0.0206325
1800,0.0206325
2700,0.0206325
3600,0.0206325
4500,0.0206325
5400,0.0206325
6300,0.0206325
7200,0.0206325
8100,0.0206325
9000,0.0206325
9900,0.0206325
10800,0.0206325
11700,0.0206325
12600,0.0206325
13500,0.0206325
14400,0.08076
15300,0.08076
16200,0.08076
17100,0.08076
18000,0.08076
18900,0.08076
19800,0.08076
20700,0.08076
21600,0.08076
22500,0.08076
23400,0.08076
24300,0.08076
25200,0.08076
26100,0.08076
27000,0.08076
27900,0.08076
28800,0.08076
29700,0.08076
30600,0.08076
31500,0.08076
32400,0.08076
33300,0.08076
34200,0.08076
35100,0.08076
36000,0.08076
36900,0.0206325
37800,0.0206325
38700,0.0206325
39600,0.0206325
40500,0.0206325
41400,0.0206325
42300,0.0206325
43200,0.0206325
44100,0.0206325
45000,0.0206325
45900,0.0206325
46800,0.0206325
47700,0.0206325
48600,0.0206325
49500,0.0206325
50400,0.0206325
51300,0.0206325
52200,0.0206325
53100,0.0206325
54000,0.0206325
54900,0.0206325
55800,0.0206325
56700,0.0206325
57600,0.0206325
58500,0.0206325
59400,0.0206325
60300,0.0206325
61200,0.0206325
62100,0.0206325
63000,0.0206325
63900,0.0206325
64800,0.0206325
65700,0.0206325
66600,0.0206325
67500,0.0206325
68400,0.0206325
69300,0.0206325
70200,0.0206325
71100,0.0206325
72000,0.0206325
72900,0.0206325
73800,0.0206325
74700,0.0206325
75600,0.0206325
76500,0.0206325
77400,0.0206325
78300,0.0206325
79200,0.0206325
80100,0.0206325
81000,0.0206325
81900,0.0206325
82800,0.0206325
83700,0.0206325
84600,0.0206325
85500,0.0206325
86400,0.0206325
87300,0.0206325
88200,0.0206325
89100,0.0206325
90000,0.0206325
90900,0.0206325
91800,0.0206325
92700,0.0206325
93600,0.0206325
94500,0.0206325
95400,0.0206325
96300,0.0206325
97200,0.0206325
98100,0.0206325
99000,0.0206325
99900,0.0206325
100800,0.08076
101700,0.08076
102600,0.08076
103500,0.08076
104400,0.08076
105300,0.08076
106200,0.08076
107100,0.08076
108000,0.08076
108900,0.08076
109800,0.08076
110700,0.08076
111600,0.08076
112500,0.08076
113400,0.08076
114300,0.08076
115200,0.08076
116100,0.08076
117000,0.08076
117900,0.08076
118800,0.08076
119700,0.08076
120600,0.08076
121500,0.08076
122400,0.08076
123300,0.0206325
124200,0.0206325
125100,0.0206325
126000,0.0206325
126900,0.0206325
127800,0.0206325
128700,0.0206325
129600,0.0206325
130500,0.0206325
131400,0.0206325
132300,0.0206325
133200,0.0206325
134100,0.0206325
135000,0.0206325
135900,0.0206325
136800,0.0206325
137700,0.0206325
138600,0.0206325
139500,0.0206325
140400,0.0206325
141300,0.0206325
142200,0.0206325
143100,0.0206325
144000,0.0206325
144900,0.0206325
145800,0.0206325
146700,0.0206325
147600,0.0206325
148500,0.0206325
149400,0.0206325
150300,0.0206325
151200,0.0206325
152100,0.0206325
153000,0.0206325
153900,0.0206325
154800,0.0206325
155700,0.0206325
156600,0.0206325
157500,0.0206325
158400,0.0206325
159300,0.0206325
160200,0.0206325
161100,0.0206325
162000,0.0206325
162900,0.0206325
163800,0.0206325
164700,0.0206325
165600,0.0206325
166500,0.0206325
167400,0.0206325
168300,0.0206325
169200,0.0206325
170100,0.0206325
171000,0.0206325
171900,0.0206325
172800,0.0206325
173700,0.0206325
174600,0.0206325
175500,0.0206325
176400,0.0206325
177300,0.0206325
178200,0.0206325
179100,0.0206325
180000,0.0206325
180900,0.0206325
181800,0.0206325
182700,0.0206325
183600,0.0206325
184500,0.0206325
185400,0.0206325
186300,0.0206325
187200,0.08076
188100,0.08076
189000,0.08076
189900,0.08076
190800,0.08076
191700,0.08076
192600,0.08076
193500,0.08076
194400,0.08076
195300,0.08076
196200,0.08076
197100,0.08076
198000,0.08076
198900,0.08076
199800,0.08076
200700,0.08076
201600,0.08076
202500,0.08076
203400,0.08076
204300,0.08076
205200,0.08076
206100,0.08076
207000,0.08076
207900,0.08076
208800,0.08076
209700,0.0206325
210600,0.0206325
211500,0.0206325
212400,0.0206325
213300,0.0206325
214200,0.0206325
215100,0.0206325
216000,0.0206325
216900,0.0206325
217800,0.0206325
218700,0.0206325
219600,0.0206325
220500,0.0206325
221400,0.0206325
222300,0.0206325
223200,0.0206325
224100,0.0206325
225000,0.0206325
225900,0.0206325
226800,0.0206325
227700,0.0206325
228600,0.0206325
229500,0.0206325
230400,0.0206325
231300,0.0206325
232200,0.0206325
233100,0.0206325
234000,0.0206325
234900,0.0206325
235800,0.0206325
236700,0.0206325
237600,0.0206325
238500,0.0206325
239400,0.0206325
240300,0.0206325
241200,0.0206325
242100,0.0206325
243000,0.0206325
243900,0.0206325
244800,0.0206325
245700,0.0206325
246600,0.0206325
247500,0.0206325
248400,0.0206325
249300,0.0206325
250200,0.0206325
251100,0.0206325
252000,0.0206325
252900,0.0206325
253800,0.0206325
254700,0.0206325
255600,0.0206325
256500,0.0206325
257400,0.0206325
258300,0.0206325
259200,0.0206325
260100,0.0206325
261000,0.0206325
261900,0.0206325
262800,0.0206325
263700,0.0206325
264600,0.0206325
265500,0.0206325
266400,0.0206325
267300,0.0206325
268200,0.0206325
269100,0.0206325
270000,0.0206325
270900,0.0206325
271800,0.0206325
272700,0.0206325
273600,0.08076
274500,0.08076
275400,0.08076
276300,0.08076
277200,0.08076
278100,0.08076
279000,0.08076
279900,0.08076
280800,0.08076
281700,0.08076
282600,0.08076
283500,0.08076
284400,0.08076
285300,0.08076
286200,0.08076
287100,0.08076
288000,0.08076
288900,0.08076
289800,0.08076
290700,0.08076
291600,0.08076
292500,0.08076
293400,0.08076
294300,0.08076
295200,0.08076
296100,0.0206325
297000,0.0206325
297900,0.0206325
298800,0.0206325
299700,0.0206325
300600,0.0206325
301500,0.0206325
302400,0.0206325
303300,0.0206325
304200,0.0206325
305100,0.0206325
306000,0.0206325
306900,0.0206325
307800,0.0206325
308700,0.0206325
309600,0.0206325
310500,0.0206325
311400,0.0206325
312300,0.0206325
313200,0.0206325
314100,0.0206325
315000,0.0206325
315900,0.0206325
316800,0.0206325
317700,0.0206325
318600,0.0206325
319500,0.0206325
320400,0.0206325
321300,0.0206325
322200,0.0206325
323100,0.0206325
324000,0.0206325
324900,0.0206325
325800,0.0206325
326700,0.0206325
327600,0.0206325
328500,0.0206325
329400,0.0206325
330300,0.0206325
331200,0.0206325
332100,0.0206325
333000,0.0206325
333900,0.0206325
334800,0.0206325
335700,0.0206325
336600,0.0206325
337500,0.0206325
338400,0.0206325
339300,0.0206325
