time,InternalGainsRad[1],InternalGainsCon[1],InternalGainsLat[1],Occupancy[1],UpperSetp[1],LowerSetp[1],UpperCO2[1]
0,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
900,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
1800,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
2700,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
3600,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
4500,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
5400,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
6300,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
7200,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
8100,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
9000,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
9900,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
10800,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
11700,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
12600,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
13500,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
14400,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
15300,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
16200,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
17100,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
18000,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
18900,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
19800,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
20700,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
21600,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
22500,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
23400,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
24300,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
25200,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
26100,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
27000,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
27900,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
28800,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
29700,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
30600,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
31500,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
32400,154.321104288,87.53848927199999,0.0,0.0,299.816666,291.48333399999996,894
33300,316.1717806,195.66530724,22.027980208,0.40050873,299.816666,291.48333399999996,894
34200,707.8512479999999,455.96804707999996,73.866280332,1.3430233,299.816666,291.48333399999996,894
35100,1188.55064328,772.33012376,134.14643787999998,2.4390259999999997,299.816666,291.48333399999996,894
36000,1617.460936,1048.6348756,181.500004296,3.3,297.03889,294.26111,894
36900,2026.13357856,1285.5207455999998,193.68792819999996,3.5215987999999996,297.03889,294.26111,894
37800,2463.7949127999996,1518.6259878399997,180.233720108,3.2769767999999995,297.03889,294.26111,894
38700,2816.1489043999995,1704.334476,167.4126454,3.0438664,297.03889,294.26111,894
39600,2968.89931,1799.0298050399997,181.500004296,3.3,297.03889,294.26111,894
40500,3006.3150311999993,1886.33295708,272.96042539999996,4.962917,297.03889,294.26111,894
41400,3071.8243348,2039.1880917199999,433.09443736,7.874444500000001,297.03889,294.26111,894
42300,3139.8712098,2197.9642495199996,599.4312583999999,10.89875,297.03889,294.26111,894
43200,3184.8992968000002,2303.0299135999994,709.49998132,12.9,297.03889,294.26111,894
44100,3198.4851548,2334.72999344,742.7097131999999,13.503813000000001,297.03889,294.26111,894
45000,3197.8157042000003,2333.1676981600003,741.0730693600001,13.474054999999998,297.03889,294.26111,894
45900,3195.7502147999994,2328.3490822800004,736.0248927199999,13.382271,297.03889,294.26111,894
46800,3205.1493499999997,2350.2797474,759.0000262,13.8,297.03889,294.26111,894
47700,3239.6935584,2430.8824009600003,843.44075868,15.335285999999998,297.03889,294.26111,894
48600,3291.9114019999997,2552.7248489599997,971.08532092,17.656097,297.03889,294.26111,894
49500,3342.936324,2671.7823964,1095.81227704,19.923859,297.03889,294.26111,894
50400,3373.8993287999997,2744.0297559999995,1171.4999821199997,21.3,297.03889,294.26111,894
51300,3359.3550224,2710.09273912,1135.9468073199998,20.653578,297.03889,294.26111,894
52200,3308.6582931999997,2591.8009051999998,1012.0221815599999,18.400404,297.03889,294.26111,894
53100,3255.14475,2466.9360871999997,881.2114298,16.022026,297.03889,294.26111,894
54000,3232.149479,2413.2797,824.99998152,15.0,297.03889,294.26111,894
54900,3254.0518192,2464.38534628,878.5390275999999,15.973436999999999,297.03889,294.26111,894
55800,3297.8683451999996,2566.6236398399997,985.6458975999999,17.920834,297.03889,294.26111,894
56700,3340.887732,2667.0023484,1090.8046889999998,19.832813,297.03889,294.26111,894
57600,3360.3991772,2712.5298668,1138.49998704,20.7,297.03889,294.26111,894
58500,3345.5186648,2677.8081834399995,1102.1249714799999,20.038636999999998,297.03889,294.26111,894
59400,3312.092472,2599.8139309999997,1020.41663568,18.55303,297.03889,294.26111,894
60300,3277.5071524,2519.1150842,935.8750413999999,17.01591,297.03889,294.26111,894
61200,3259.1492596,2476.2798267999997,890.99997168,16.2,297.03889,294.26111,894
62100,3278.1607507999997,2520.6398568,937.4723857199998,17.044952,297.03889,294.26111,894
63000,3323.85794,2627.2662831999996,1049.17625436,19.075932,297.03889,294.26111,894
63900,3365.8882191999996,2725.3370508,1151.9170103999998,20.943945000000003,297.03889,294.26111,894
64800,3373.8993287999997,2744.0297559999995,1171.4999821199997,21.3,297.03889,294.26111,894
65700,3327.7074116,2636.2489061999995,1058.5865732,19.247028,297.03889,294.26111,894
66600,3249.0244072,2452.6548227999997,866.2500189199999,15.75,297.03889,294.26111,894
67500,3170.3410544,2269.0607742399993,673.9134298,12.252972,297.03889,294.26111,894
68400,3124.1493114,2161.2798896,561.0000208799999,10.2,297.03889,294.26111,894
69300,3109.436902,2126.950644,525.03611732,9.546111,297.03889,294.26111,894
70200,3099.53189,2103.83893772,500.82374575999995,9.105886,297.03889,294.26111,894
71100,3088.4356983999996,2077.9474872,473.69951668,8.612719,297.03889,294.26111,894
72000,3070.1494018,2035.2798798799997,429.00000572,7.8,297.03889,294.26111,894
72900,2898.1626127999994,1895.69986528,367.89064572,6.6889205,297.03889,294.26111,894
73800,2514.3413422399994,1636.5677146,303.79166532,5.5234847,297.03889,294.26111,894
74700,2045.25199372,1330.1304390399998,240.42187566799998,4.371307,297.03889,294.26111,894
75600,1617.460936,1048.6348756,181.500004296,3.3,297.03889,294.26111,894
76500,1183.5592558399999,760.6835646799999,121.94531309999999,2.2171874,297.03889,294.26111,894
77400,703.4144785199999,445.61558496,63.020832211999995,1.1458334,297.03889,294.26111,894
78300,314.5079963999999,191.78312087999998,17.960938033999998,0.3265625,297.03889,294.26111,894
79200,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
80100,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
81000,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
81900,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
82800,154.321104288,87.53848927199999,0.0,0.0,302.59444499999995,288.705555,1500
