# time: time of price [s],
# PriceElectricPowerHighlyDynamic: Price of electricity in highly dynamic scenario [$/kWh],
time,PriceElectricPowerHighlyDynamic
0,0.02288
3600,0.021
7200,0.02026
10800,0.02014
14400,0.02
18000,0.01994
21600,0.01988
25200,0.02077
28800,0.02004
32400,0.0198
36000,0.0215
39600,0.02083
43200,0.0214
46800,0.02105
50400,0.02109
54000,0.02138
57600,0.02483
61200,0.0298
64800,0.02706
68400,0.02348
72000,0.02271
75600,0.02259
79200,0.02149
82800,0.02087
86400,0.022
90000,0.02068
93600,0.02
97200,0.01974
100800,0.01958
104400,0.01998
108000,0.02067
111600,0.02151
115200,0.02162
118800,0.02261
122400,0.02186
126000,0.02173
129600,0.02102
133200,0.02097
136800,0.02065
140400,0.02075
144000,0.024
147600,0.03129
151200,0.0285
154800,0.02672
158400,0.02429
162000,0.02264
165600,0.0213
169200,0.0213
172800,0.02209
176400,0.02132
180000,0.02054
183600,0.0199
187200,0.02012
190800,0.02022
194400,0.02109
198000,0.02152
201600,0.02159
205200,0.0221
208800,0.02272
212400,0.02341
216000,0.02323
219600,0.02269
223200,0.02245
226800,0.02269
230400,0.02557
234000,0.03265
237600,0.02993
241200,0.02716
244800,0.02276
248400,0.0227
252000,0.02176
255600,0.02115
259200,0.023
262800,0.02146
266400,0.02075
270000,0.0207
273600,0.02015
277200,0.0216
280800,0.02651
284400,0.02915
288000,0.02809
291600,0.02801
295200,0.02651
298800,0.02538
302400,0.02445
306000,0.02434
309600,0.02439
313200,0.02478
316800,0.02701
320400,0.03995
324000,0.03163
327600,0.02825
331200,0.0258
334800,0.02464
338400,0.02305
342000,0.022
345600,0.02378
349200,0.02178
352800,0.02077
356400,0.02
360000,0.02245
363600,0.02377
367200,0.0294
370800,0.03294
374400,0.03066
378000,0.02991
381600,0.02807
385200,0.02758
388800,0.02608
392400,0.02592
396000,0.02551
399600,0.02646
403200,0.02828
406800,0.0421
410400,0.03383
414000,0.031
417600,0.02807
421200,0.02679
424800,0.02433
428400,0.02246
432000,0.02557
435600,0.02253
439200,0.02234
442800,0.02224
446400,0.02232
450000,0.02372
453600,0.03093
457200,0.0352
460800,0.03304
464400,0.03121
468000,0.03105
471600,0.02805
475200,0.02745
478800,0.02727
