time,PriceElectricPowerDynamic
0,0.0138
900,0.0138
1800,0.0138
2700,0.0138
3600,0.0138
4500,0.0138
5400,0.0138
6300,0.0138
7200,0.0138
8100,0.0138
9000,0.0138
9900,0.0138
10800,0.0138
11700,0.0138
12600,0.0138
13500,0.0138
14400,0.0138
15300,0.0138
16200,0.0138
17100,0.0138
18000,0.0138
18900,0.0138
19800,0.0138
20700,0.0138
21600,0.0138
22500,0.0138
23400,0.0138
24300,0.0138
25200,0.0138
26100,0.0138
27000,0.0138
27900,0.0138
28800,0.1862
29700,0.1862
30600,0.1862
31500,0.1862
32400,0.1862
33300,0.1862
34200,0.1862
35100,0.1862
36000,0.1862
36900,0.1862
37800,0.1862
38700,0.1862
39600,0.1862
40500,0.1862
41400,0.1862
42300,0.1862
43200,0.1862
44100,0.1862
45000,0.1862
45900,0.1862
46800,0.1862
47700,0.1862
48600,0.1862
49500,0.1862
50400,0.1862
51300,0.1862
52200,0.1862
53100,0.1862
54000,0.1862
54900,0.1862
55800,0.1862
56700,0.1862
57600,0.1862
58500,0.1862
59400,0.1862
60300,0.1862
61200,0.1862
62100,0.1862
63000,0.1862
63900,0.1862
64800,0.1862
65700,0.1862
66600,0.1862
67500,0.1862
68400,0.1862
69300,0.1862
70200,0.1862
71100,0.1862
72000,0.1862
72900,0.1862
73800,0.1862
74700,0.1862
75600,0.1862
76500,0.1862
77400,0.1862
78300,0.1862
79200,0.0138
80100,0.0138
81000,0.0138
81900,0.0138
82800,0.0138
83700,0.0138
84600,0.0138
85500,0.0138
86400,0.0138
87300,0.0138
88200,0.0138
89100,0.0138
90000,0.0138
90900,0.0138
91800,0.0138
92700,0.0138
93600,0.0138
94500,0.0138
95400,0.0138
96300,0.0138
97200,0.0138
98100,0.0138
99000,0.0138
99900,0.0138
100800,0.0138
101700,0.0138
102600,0.0138
103500,0.0138
104400,0.0138
105300,0.0138
106200,0.0138
107100,0.0138
108000,0.0138
108900,0.0138
109800,0.0138
110700,0.0138
111600,0.0138
112500,0.0138
113400,0.0138
114300,0.0138
115200,0.1862
116100,0.1862
117000,0.1862
117900,0.1862
118800,0.1862
119700,0.1862
120600,0.1862
121500,0.1862
122400,0.1862
123300,0.1862
124200,0.1862
125100,0.1862
126000,0.1862
126900,0.1862
127800,0.1862
128700,0.1862
129600,0.1862
130500,0.1862
131400,0.1862
132300,0.1862
133200,0.1862
134100,0.1862
135000,0.1862
135900,0.1862
136800,0.1862
137700,0.1862
138600,0.1862
139500,0.1862
140400,0.1862
141300,0.1862
142200,0.1862
143100,0.1862
144000,0.1862
144900,0.1862
145800,0.1862
146700,0.1862
147600,0.1862
148500,0.1862
149400,0.1862
150300,0.1862
151200,0.1862
152100,0.1862
153000,0.1862
153900,0.1862
154800,0.1862
155700,0.1862
156600,0.1862
157500,0.1862
158400,0.1862
159300,0.1862
160200,0.1862
161100,0.1862
162000,0.1862
162900,0.1862
163800,0.1862
164700,0.1862
165600,0.0138
166500,0.0138
167400,0.0138
168300,0.0138
169200,0.0138
170100,0.0138
171000,0.0138
171900,0.0138
172800,0.0138
173700,0.0138
174600,0.0138
175500,0.0138
176400,0.0138
177300,0.0138
178200,0.0138
179100,0.0138
180000,0.0138
180900,0.0138
181800,0.0138
182700,0.0138
183600,0.0138
184500,0.0138
185400,0.0138
186300,0.0138
187200,0.0138
188100,0.0138
189000,0.0138
189900,0.0138
190800,0.0138
191700,0.0138
192600,0.0138
