time,InternalGains
0.0,57.6
3600.0,57.6
7200.0,57.6
10800.0,57.6
14400.0,57.6
18000.0,57.6
21600.0,57.6
25200.0,57.6
28800.0,576.0
32400.0,576.0
36000.0,576.0
39600.0,576.0
43200.0,576.0
46800.0,576.0
50400.0,576.0
54000.0,576.0
57600.0,576.0
61200.0,576.0
64800.0,57.6
68400.0,57.6
72000.0,57.6
75600.0,57.6
79200.0,57.6
82800.0,57.6
86400.0,57.6
90000.0,57.6
93600.0,57.6
97200.0,57.6
100800.0,57.6
104400.0,57.6
108000.0,57.6
111600.0,57.6
115200.0,576.0
118800.0,576.0
122400.0,576.0
126000.0,576.0
129600.0,576.0
133200.0,576.0
136800.0,576.0
140400.0,576.0
144000.0,576.0
147600.0,576.0
151200.0,57.6
154800.0,57.6
158400.0,57.6
162000.0,57.6
165600.0,57.6
169200.0,57.6
172800.0,57.6
176400.0,57.6
180000.0,57.6
183600.0,57.6
187200.0,57.6
190800.0,57.6
194400.0,57.6
198000.0,57.6
201600.0,576.0
205200.0,576.0
208800.0,576.0
212400.0,576.0
216000.0,576.0
219600.0,576.0
223200.0,576.0
226800.0,576.0
230400.0,576.0
234000.0,576.0
237600.0,57.6
241200.0,57.6
244800.0,57.6
248400.0,57.6
252000.0,57.6
255600.0,57.6
259200.0,57.6
262800.0,57.6
266400.0,57.6
270000.0,57.6
273600.0,57.6
277200.0,57.6
280800.0,57.6
284400.0,57.6
288000.0,576.0
291600.0,576.0
295200.0,576.0
298800.0,576.0
302400.0,576.0
306000.0,576.0
309600.0,576.0
313200.0,576.0
316800.0,576.0
320400.0,576.0
324000.0,57.6
327600.0,57.6
331200.0,57.6
334800.0,57.6
338400.0,57.6
342000.0,57.6
345600.0,57.6
349200.0,57.6
352800.0,57.6
356400.0,57.6
360000.0,57.6
363600.0,57.6
367200.0,57.6
370800.0,57.6
374400.0,576.0
378000.0,576.0
381600.0,576.0
385200.0,576.0
388800.0,576.0
392400.0,576.0
396000.0,576.0
399600.0,576.0
403200.0,576.0
406800.0,576.0
410400.0,57.6
414000.0,57.6
417600.0,57.6
421200.0,57.6
424800.0,57.6
428400.0,57.6
432000.0,57.6
435600.0,57.6
439200.0,57.6
442800.0,57.6
446400.0,57.6
450000.0,57.6
453600.0,57.6
457200.0,57.6
460800.0,576.0
464400.0,576.0
468000.0,576.0
471600.0,576.0
475200.0,576.0
478800.0,576.0
482400.0,576.0
486000.0,576.0
489600.0,576.0
493200.0,576.0
496800.0,57.6
500400.0,57.6
504000.0,57.6
507600.0,57.6
511200.0,57.6
514800.0,57.6
518400.0,57.6
522000.0,57.6
525600.0,57.6
529200.0,57.6
532800.0,57.6
536400.0,57.6
540000.0,57.6
543600.0,57.6
547200.0,576.0
550800.0,576.0
554400.0,576.0
558000.0,576.0
561600.0,576.0
565200.0,576.0
568800.0,576.0
572400.0,576.0
576000.0,576.0
579600.0,576.0
583200.0,57.6
586800.0,57.6
590400.0,57.6
594000.0,57.6
597600.0,57.6
601200.0,57.6
604800.0,57.6
608400.0,57.6
612000.0,57.6
615600.0,57.6
619200.0,57.6
622800.0,57.6
626400.0,57.6
630000.0,57.6
633600.0,576.0
637200.0,576.0
640800.0,576.0
644400.0,576.0
648000.0,576.0
651600.0,576.0
655200.0,576.0
658800.0,576.0
662400.0,576.0
666000.0,576.0
669600.0,57.6
673200.0,57.6
676800.0,57.6
680400.0,57.6
684000.0,57.6
687600.0,57.6
691200.0,57.6
694800.0,57.6
698400.0,57.6
702000.0,57.6
705600.0,57.6
709200.0,57.6
712800.0,57.6
716400.0,57.6
720000.0,576.0
723600.0,576.0
727200.0,576.0
730800.0,576.0
734400.0,576.0
738000.0,576.0
741600.0,576.0
745200.0,576.0
748800.0,576.0
752400.0,576.0
756000.0,57.6
759600.0,57.6
763200.0,57.6
766800.0,57.6
770400.0,57.6
774000.0,57.6
777600.0,57.6
781200.0,57.6
784800.0,57.6
788400.0,57.6
792000.0,57.6
795600.0,57.6
799200.0,57.6
802800.0,57.6
806400.0,576.0
810000.0,576.0
813600.0,576.0
817200.0,576.0
820800.0,576.0
824400.0,576.0
828000.0,576.0
831600.0,576.0
835200.0,576.0
838800.0,576.0
842400.0,57.6
846000.0,57.6
849600.0,57.6
853200.0,57.6
856800.0,57.6
860400.0,57.6
864000.0,57.6
867600.0,57.6
871200.0,57.6
874800.0,57.6
878400.0,57.6
882000.0,57.6
885600.0,57.6
889200.0,57.6
892800.0,576.0
896400.0,576.0
900000.0,576.0
903600.0,576.0
907200.0,576.0
910800.0,576.0
914400.0,576.0
918000.0,576.0
921600.0,576.0
925200.0,576.0
928800.0,57.6
932400.0,57.6
936000.0,57.6
939600.0,57.6
943200.0,57.6
946800.0,57.6
950400.0,57.6
954000.0,57.6
957600.0,57.6
961200.0,57.6
964800.0,57.6
968400.0,57.6
972000.0,57.6
975600.0,57.6
979200.0,576.0
982800.0,576.0
986400.0,576.0
990000.0,576.0
993600.0,576.0
997200.0,576.0
1000800.0,576.0
1004400.0,576.0
1008000.0,576.0
1011600.0,576.0
1015200.0,57.6
1018800.0,57.6
1022400.0,57.6
1026000.0,57.6
1029600.0,57.6
1033200.0,57.6
1036800.0,57.6
1040400.0,57.6
1044000.0,57.6
1047600.0,57.6
1051200.0,57.6
1054800.0,57.6
1058400.0,57.6
1062000.0,57.6
1065600.0,576.0
1069200.0,576.0
1072800.0,576.0
1076400.0,576.0
1080000.0,576.0
1083600.0,576.0
1087200.0,576.0
1090800.0,576.0
1094400.0,576.0
1098000.0,576.0
1101600.0,57.6
1105200.0,57.6
1108800.0,57.6
1112400.0,57.6
1116000.0,57.6
1119600.0,57.6
1123200.0,57.6
1126800.0,57.6
1130400.0,57.6
1134000.0,57.6
1137600.0,57.6
1141200.0,57.6
1144800.0,57.6
