time,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic
0.0,0.2535,0.2383,0.26949
900.0,0.2535,0.2383,0.26949
1800.0,0.2535,0.2383,0.26949
2700.0,0.2535,0.2383,0.26949
3600.0,0.2535,0.2383,0.26658000000000004
4500.0,0.2535,0.2383,0.26658000000000004
5400.0,0.2535,0.2383,0.26658000000000004
6300.0,0.2535,0.2383,0.26658000000000004
7200.0,0.2535,0.2383,0.26507000000000003
8100.0,0.2535,0.2383,0.26507000000000003
9000.0,0.2535,0.2383,0.26507000000000003
9900.0,0.2535,0.2383,0.26507000000000003
10800.0,0.2535,0.2383,0.25217
11700.0,0.2535,0.2383,0.25217
12600.0,0.2535,0.2383,0.25217
13500.0,0.2535,0.2383,0.25217
14400.0,0.2535,0.2383,0.24766
15300.0,0.2535,0.2383,0.24766
16200.0,0.2535,0.2383,0.24766
17100.0,0.2535,0.2383,0.24766
18000.0,0.2535,0.2383,0.25087000000000004
18900.0,0.2535,0.2383,0.25087000000000004
19800.0,0.2535,0.2383,0.25087000000000004
20700.0,0.2535,0.2383,0.25087000000000004
21600.0,0.2535,0.2383,0.25288
22500.0,0.2535,0.2383,0.25288
23400.0,0.2535,0.2383,0.25288
24300.0,0.2535,0.2383,0.25288
25200.0,0.2535,0.2666,0.26178
26100.0,0.2535,0.2666,0.26178
27000.0,0.2535,0.2666,0.26178
27900.0,0.2535,0.2666,0.26178
28800.0,0.2535,0.2666,0.25008
29700.0,0.2535,0.2666,0.25008
30600.0,0.2535,0.2666,0.25008
31500.0,0.2535,0.2666,0.25008
32400.0,0.2535,0.2666,0.25027
33300.0,0.2535,0.2666,0.25027
34200.0,0.2535,0.2666,0.25027
35100.0,0.2535,0.2666,0.25027
36000.0,0.2535,0.2666,0.26636000000000004
36900.0,0.2535,0.2666,0.26636000000000004
37800.0,0.2535,0.2666,0.26636000000000004
38700.0,0.2535,0.2666,0.26636000000000004
39600.0,0.2535,0.2666,0.27508
40500.0,0.2535,0.2666,0.27508
41400.0,0.2535,0.2666,0.27508
42300.0,0.2535,0.2666,0.27508
43200.0,0.2535,0.2666,0.29066000000000003
44100.0,0.2535,0.2666,0.29066000000000003
45000.0,0.2535,0.2666,0.29066000000000003
45900.0,0.2535,0.2666,0.29066000000000003
46800.0,0.2535,0.2666,0.27571
47700.0,0.2535,0.2666,0.27571
48600.0,0.2535,0.2666,0.27571
49500.0,0.2535,0.2666,0.27571
50400.0,0.2535,0.2666,0.2683
51300.0,0.2535,0.2666,0.2683
52200.0,0.2535,0.2666,0.2683
53100.0,0.2535,0.2666,0.2683
54000.0,0.2535,0.2666,0.26183
54900.0,0.2535,0.2666,0.26183
55800.0,0.2535,0.2666,0.26183
56700.0,0.2535,0.2666,0.26183
57600.0,0.2535,0.2666,0.27212000000000003
58500.0,0.2535,0.2666,0.27212000000000003
59400.0,0.2535,0.2666,0.27212000000000003
60300.0,0.2535,0.2666,0.27212000000000003
61200.0,0.2535,0.2666,0.26258000000000004
62100.0,0.2535,0.2666,0.26258000000000004
63000.0,0.2535,0.2666,0.26258000000000004
63900.0,0.2535,0.2666,0.26258000000000004
