time,PriceElectricPowerConstant
0,0.05461
900,0.05461
1800,0.05461
2700,0.05461
3600,0.05461
4500,0.05461
5400,0.05461
6300,0.05461
7200,0.05461
8100,0.05461
9000,0.05461
9900,0.05461
10800,0.05461
11700,0.05461
12600,0.05461
13500,0.05461
14400,0.05461
15300,0.05461
16200,0.05461
17100,0.05461
18000,0.05461
18900,0.05461
19800,0.05461
20700,0.05461
21600,0.05461
22500,0.05461
23400,0.05461
24300,0.05461
25200,0.05461
26100,0.05461
27000,0.05461
27900,0.05461
28800,0.05461
29700,0.05461
30600,0.05461
31500,0.05461
32400,0.05461
33300,0.05461
34200,0.05461
35100,0.05461
36000,0.05461
36900,0.05461
37800,0.05461
38700,0.05461
39600,0.05461
40500,0.05461
41400,0.05461
42300,0.05461
43200,0.05461
44100,0.05461
45000,0.05461
45900,0.05461
46800,0.05461
47700,0.05461
48600,0.05461
49500,0.05461
50400,0.05461
51300,0.05461
52200,0.05461
53100,0.05461
54000,0.05461
54900,0.05461
55800,0.05461
56700,0.05461
57600,0.05461
58500,0.05461
59400,0.05461
60300,0.05461
61200,0.05461
62100,0.05461
63000,0.05461
63900,0.05461
64800,0.05461
65700,0.05461
66600,0.05461
67500,0.05461
68400,0.05461
69300,0.05461
70200,0.05461
71100,0.05461
72000,0.05461
72900,0.05461
73800,0.05461
74700,0.05461
75600,0.05461
76500,0.05461
77400,0.05461
78300,0.05461
79200,0.05461
80100,0.05461
81000,0.05461
81900,0.05461
82800,0.05461
83700,0.05461
84600,0.05461
85500,0.05461
86400,0.05461
87300,0.05461
88200,0.05461
89100,0.05461
90000,0.05461
90900,0.05461
91800,0.05461
92700,0.05461
93600,0.05461
94500,0.05461
95400,0.05461
96300,0.05461
97200,0.05461
98100,0.05461
99000,0.05461
99900,0.05461
100800,0.05461
101700,0.05461
102600,0.05461
103500,0.05461
104400,0.05461
105300,0.05461
106200,0.05461
107100,0.05461
108000,0.05461
108900,0.05461
109800,0.05461
110700,0.05461
111600,0.05461
112500,0.05461
113400,0.05461
114300,0.05461
115200,0.05461
116100,0.05461
117000,0.05461
117900,0.05461
118800,0.05461
119700,0.05461
120600,0.05461
121500,0.05461
122400,0.05461
123300,0.05461
124200,0.05461
125100,0.05461
126000,0.05461
126900,0.05461
127800,0.05461
128700,0.05461
129600,0.05461
130500,0.05461
131400,0.05461
132300,0.05461
133200,0.05461
134100,0.05461
135000,0.05461
135900,0.05461
136800,0.05461
137700,0.05461
138600,0.05461
139500,0.05461
140400,0.05461
141300,0.05461
142200,0.05461
143100,0.05461
144000,0.05461
144900,0.05461
145800,0.05461
146700,0.05461
147600,0.05461
148500,0.05461
149400,0.05461
150300,0.05461
151200,0.05461
152100,0.05461
153000,0.05461
153900,0.05461
154800,0.05461
155700,0.05461
156600,0.05461
157500,0.05461
158400,0.05461
159300,0.05461
160200,0.05461
161100,0.05461
162000,0.05461
162900,0.05461
163800,0.05461
164700,0.05461
165600,0.05461
166500,0.05461
167400,0.05461
168300,0.05461
169200,0.05461
170100,0.05461
171000,0.05461
171900,0.05461
172800,0.05461
173700,0.05461
174600,0.05461
175500,0.05461
176400,0.05461
177300,0.05461
178200,0.05461
179100,0.05461
180000,0.05461
180900,0.05461
181800,0.05461
182700,0.05461
183600,0.05461
184500,0.05461
185400,0.05461
186300,0.05461
187200,0.05461
188100,0.05461
189000,0.05461
189900,0.05461
190800,0.05461
191700,0.05461
192600,0.05461
193500,0.05461
194400,0.05461
195300,0.05461
196200,0.05461
197100,0.05461
198000,0.05461
198900,0.05461
199800,0.05461
200700,0.05461
201600,0.05461
202500,0.05461
203400,0.05461
204300,0.05461
205200,0.05461
206100,0.05461
207000,0.05461
207900,0.05461
208800,0.05461
209700,0.05461
210600,0.05461
211500,0.05461
212400,0.05461
213300,0.05461
214200,0.05461
215100,0.05461
216000,0.05461
216900,0.05461
217800,0.05461
218700,0.05461
219600,0.05461
220500,0.05461
221400,0.05461
222300,0.05461
223200,0.05461
224100,0.05461
225000,0.05461
225900,0.05461
226800,0.05461
227700,0.05461
228600,0.05461
229500,0.05461
230400,0.05461
231300,0.05461
232200,0.05461
233100,0.05461
234000,0.05461
234900,0.05461
235800,0.05461
236700,0.05461
237600,0.05461
238500,0.05461
239400,0.05461
240300,0.05461
241200,0.05461
242100,0.05461
243000,0.05461
243900,0.05461
244800,0.05461
245700,0.05461
246600,0.05461
247500,0.05461
248400,0.05461
249300,0.05461
250200,0.05461
251100,0.05461
252000,0.05461
252900,0.05461
253800,0.05461
254700,0.05461
255600,0.05461
256500,0.05461
257400,0.05461
258300,0.05461
259200,0.05461
260100,0.05461
261000,0.05461
261900,0.05461
262800,0.05461
263700,0.05461
264600,0.05461
265500,0.05461
266400,0.05461
267300,0.05461
268200,0.05461
269100,0.05461
270000,0.05461
270900,0.05461
271800,0.05461
272700,0.05461
273600,0.05461
274500,0.05461
275400,0.05461
276300,0.05461
277200,0.05461
278100,0.05461
279000,0.05461
279900,0.05461
280800,0.05461
281700,0.05461
282600,0.05461
283500,0.05461
284400,0.05461
285300,0.05461
286200,0.05461
287100,0.05461
288000,0.05461
288900,0.05461
289800,0.05461
290700,0.05461
291600,0.05461
292500,0.05461
293400,0.05461
294300,0.05461
295200,0.05461
296100,0.05461
297000,0.05461
297900,0.05461
298800,0.05461
299700,0.05461
300600,0.05461
301500,0.05461
302400,0.05461
303300,0.05461
304200,0.05461
305100,0.05461
306000,0.05461
306900,0.05461
307800,0.05461
308700,0.05461
309600,0.05461
310500,0.05461
311400,0.05461
312300,0.05461
313200,0.05461
314100,0.05461
315000,0.05461
315900,0.05461
316800,0.05461
317700,0.05461
318600,0.05461
319500,0.05461
320400,0.05461
321300,0.05461
322200,0.05461
323100,0.05461
324000,0.05461
324900,0.05461
325800,0.05461
326700,0.05461
327600,0.05461
328500,0.05461
329400,0.05461
330300,0.05461
331200,0.05461
332100,0.05461
333000,0.05461
333900,0.05461
334800,0.05461
335700,0.05461
336600,0.05461
337500,0.05461
338400,0.05461
339300,0.05461
340200,0.05461
341100,0.05461
342000,0.05461
342900,0.05461
343800,0.05461
344700,0.05461
345600,0.05461
346500,0.05461
347400,0.05461
348300,0.05461
349200,0.05461
350100,0.05461
351000,0.05461
351900,0.05461
352800,0.05461
353700,0.05461
354600,0.05461
355500,0.05461
356400,0.05461
357300,0.05461
358200,0.05461
359100,0.05461
360000,0.05461
360900,0.05461
361800,0.05461
362700,0.05461
363600,0.05461
364500,0.05461
365400,0.05461
366300,0.05461
367200,0.05461
368100,0.05461
369000,0.05461
369900,0.05461
370800,0.05461
371700,0.05461
372600,0.05461
373500,0.05461
374400,0.05461
375300,0.05461
376200,0.05461
377100,0.05461
378000,0.05461
378900,0.05461
379800,0.05461
380700,0.05461
381600,0.05461
382500,0.05461
383400,0.05461
384300,0.05461
385200,0.05461
386100,0.05461
387000,0.05461
387900,0.05461
388800,0.05461
389700,0.05461
390600,0.05461
391500,0.05461
392400,0.05461
393300,0.05461
394200,0.05461
395100,0.05461
396000,0.05461
396900,0.05461
397800,0.05461
398700,0.05461
399600,0.05461
400500,0.05461
401400,0.05461
402300,0.05461
403200,0.05461
404100,0.05461
405000,0.05461
405900,0.05461
406800,0.05461
407700,0.05461
408600,0.05461
409500,0.05461
410400,0.05461
411300,0.05461
412200,0.05461
413100,0.05461
414000,0.05461
414900,0.05461
415800,0.05461
416700,0.05461
417600,0.05461
418500,0.05461
419400,0.05461
420300,0.05461
421200,0.05461
422100,0.05461
423000,0.05461
423900,0.05461
424800,0.05461
425700,0.05461
426600,0.05461
427500,0.05461
428400,0.05461
429300,0.05461
430200,0.05461
431100,0.05461
432000,0.05461
432900,0.05461
433800,0.05461
434700,0.05461
435600,0.05461
436500,0.05461
437400,0.05461
438300,0.05461
439200,0.05461
440100,0.05461
441000,0.05461
441900,0.05461
442800,0.05461
443700,0.05461
444600,0.05461
445500,0.05461
446400,0.05461
447300,0.05461
448200,0.05461
449100,0.05461
450000,0.05461
450900,0.05461
451800,0.05461
452700,0.05461
453600,0.05461
454500,0.05461
455400,0.05461
456300,0.05461
457200,0.05461
458100,0.05461
459000,0.05461
459900,0.05461
460800,0.05461
461700,0.05461
462600,0.05461
463500,0.05461
464400,0.05461
465300,0.05461
466200,0.05461
467100,0.05461
468000,0.05461
468900,0.05461
469800,0.05461
470700,0.05461
471600,0.05461
472500,0.05461
473400,0.05461
474300,0.05461
475200,0.05461
476100,0.05461
477000,0.05461
477900,0.05461
478800,0.05461
479700,0.05461
480600,0.05461
481500,0.05461
482400,0.05461
483300,0.05461
484200,0.05461
485100,0.05461
486000,0.05461
486900,0.05461
487800,0.05461
488700,0.05461
489600,0.05461
490500,0.05461
491400,0.05461
492300,0.05461
493200,0.05461
494100,0.05461
495000,0.05461
495900,0.05461
496800,0.05461
497700,0.05461
498600,0.05461
499500,0.05461
500400,0.05461
501300,0.05461
502200,0.05461
503100,0.05461
504000,0.05461
504900,0.05461
505800,0.05461
506700,0.05461
507600,0.05461
508500,0.05461
509400,0.05461
510300,0.05461
511200,0.05461
512100,0.05461
513000,0.05461
513900,0.05461
514800,0.05461
515700,0.05461
516600,0.05461
