time,Occupancy[1],InternalGainsRad[1],InternalGainsCon[1],InternalGainsLat[1],radiatorSetPoint.y1
0.0,0,0.0,0.0,0.0,292.15
900.0,0,0.0,0.0,0.0,292.15
1800.0,0,0.0,0.0,0.0,292.15
2700.0,0,0.0,0.0,0.0,292.15
3600.0,0,0.0,0.0,0.0,292.15
4500.0,0,0.0,0.0,0.0,292.15
5400.0,0,0.0,0.0,0.0,292.15
6300.0,0,0.0,0.0,0.0,292.15
7200.0,0,0.0,0.0,0.0,292.15
8100.0,0,0.0,0.0,0.0,292.15
9000.0,0,0.0,0.0,0.0,292.15
9900.0,0,0.0,0.0,0.0,292.15
10800.0,0,0.0,0.0,0.0,292.15
10800.0,0,0.0,0.0,0.0,295.15
11700.0,0,0.0,0.0,0.0,295.15
12600.0,0,0.0,0.0,0.0,295.15
13500.0,0,0.0,0.0,0.0,295.15
14400.0,0,0.0,0.0,0.0,295.15
15300.0,0,0.0,0.0,0.0,295.15
16200.0,0,0.0,0.0,0.0,295.15
17100.0,0,0.0,0.0,0.0,295.15
18000.0,0,0.0,0.0,0.0,295.15
18900.0,0,0.0,0.0,0.0,295.15
19800.0,0,0.0,0.0,0.0,295.15
20700.0,0,0.0,0.0,0.0,295.15
21600.0,0,0.0,0.0,0.0,295.15
22500.0,0,0.0,0.0,0.0,295.15
23400.0,0,0.0,0.0,0.0,295.15
24300.0,0,0.0,0.0,0.0,295.15
25200.0,0,0.0,0.0,0.0,295.15
26100.0,0,0.0,0.0,0.0,295.15
27000.0,0,0.0,0.0,0.0,295.15
27900.0,0,0.0,0.0,0.0,295.15
28800.0,0,0.0,0.0,0.0,295.15
29700.0,0,0.0,0.0,0.0,295.15
30600.0,0,0.0,0.0,0.0,295.15
31500.0,0,0.0,0.0,0.0,295.15
32400.0,0,0.0,0.0,0.0,295.15
33300.0,0,0.0,0.0,0.0,295.15
34200.0,0,0.0,0.0,0.0,295.15
35100.0,0,0.0,0.0,0.0,295.15
36000.0,0,0.0,0.0,0.0,295.15
36900.0,0,0.0,0.0,0.0,295.15
37800.0,0,0.0,0.0,0.0,295.15
38700.0,0,0.0,0.0,0.0,295.15
39600.0,0,0.0,0.0,0.0,295.15
40500.0,0,0.0,0.0,0.0,295.15
41400.0,0,0.0,0.0,0.0,295.15
42300.0,0,0.0,0.0,0.0,295.15
43200.0,0,0.0,0.0,0.0,295.15
44100.0,0,0.0,0.0,0.0,295.15
45000.0,0,0.0,0.0,0.0,295.15
45900.0,0,0.0,0.0,0.0,295.15
46800.0,0,0.0,0.0,0.0,295.15
47700.0,0,0.0,0.0,0.0,295.15
48600.0,0,0.0,0.0,0.0,295.15
49500.0,0,0.0,0.0,0.0,295.15
50400.0,0,0.0,0.0,0.0,295.15
51300.0,0,0.0,0.0,0.0,295.15
52200.0,0,0.0,0.0,0.0,295.15
53100.0,0,0.0,0.0,0.0,295.15
54000.0,0,0.0,0.0,0.0,295.15
54900.0,0,0.0,0.0,0.0,295.15
55800.0,0,0.0,0.0,0.0,295.15
56700.0,0,0.0,0.0,0.0,295.15
57600.0,0,0.0,0.0,0.0,295.15
58500.0,0,0.0,0.0,0.0,295.15
59400.0,0,0.0,0.0,0.0,295.15
60300.0,0,0.0,0.0,0.0,295.15
61200.0,0,0.0,0.0,0.0,295.15
62100.0,0,0.0,0.0,0.0,295.15
63000.0,0,0.0,0.0,0.0,295.15
63900.0,0,0.0,0.0,0.0,295.15
64800.0,0,0.0,0.0,0.0,295.15
65700.0,0,0.0,0.0,0.0,295.15
66600.0,0,0.0,0.0,0.0,295.15
67500.0,0,0.0,0.0,0.0,295.15
68400.0,0,0.0,0.0,0.0,295.15
68400.0,0,0.0,0.0,0.0,292.15
69300.0,0,0.0,0.0,0.0,292.15
70200.0,0,0.0,0.0,0.0,292.15
71100.0,0,0.0,0.0,0.0,292.15
72000.0,0,0.0,0.0,0.0,292.15
72900.0,0,0.0,0.0,0.0,292.15
73800.0,0,0.0,0.0,0.0,292.15
74700.0,0,0.0,0.0,0.0,292.15
75600.0,0,0.0,0.0,0.0,292.15
76500.0,0,0.0,0.0,0.0,292.15
77400.0,0,0.0,0.0,0.0,292.15
78300.0,0,0.0,0.0,0.0,292.15
79200.0,0,0.0,0.0,0.0,292.15
80100.0,0,0.0,0.0,0.0,292.15
81000.0,0,0.0,0.0,0.0,292.15
81900.0,0,0.0,0.0,0.0,292.15
82800.0,0,0.0,0.0,0.0,292.15
83700.0,0,0.0,0.0,0.0,292.15
84600.0,0,0.0,0.0,0.0,292.15
85500.0,0,0.0,0.0,0.0,292.15
86400.0,0,0.0,0.0,0.0,292.15
87300.0,0,0.0,0.0,0.0,292.15
88200.0,0,0.0,0.0,0.0,292.15
89100.0,0,0.0,0.0,0.0,292.15
90000.0,0,0.0,0.0,0.0,292.15
90900.0,0,0.0,0.0,0.0,292.15
91800.0,0,0.0,0.0,0.0,292.15
92700.0,0,0.0,0.0,0.0,292.15
93600.0,0,0.0,0.0,0.0,292.15
94500.0,0,0.0,0.0,0.0,292.15
