time,PriceGasPower
0,12.599
900,12.599
1800,12.599
2700,12.599
3600,12.599
4500,12.599
5400,12.599
6300,12.599
7200,12.599
8100,12.599
9000,12.599
9900,12.599
10800,12.599
11700,12.599
12600,12.599
13500,12.599
14400,12.599
15300,12.599
16200,12.599
17100,12.599
18000,12.599
18900,12.599
19800,12.599
20700,12.599
21600,12.599
22500,12.599
23400,12.599
24300,12.599
25200,12.599
26100,12.599
27000,12.599
27900,12.599
28800,12.599
29700,12.599
30600,12.599
31500,12.599
32400,12.599
33300,12.599
34200,12.599
35100,12.599
36000,12.599
36900,12.599
37800,12.599
38700,12.599
39600,12.599
40500,12.599
41400,12.599
42300,12.599
43200,12.599
44100,12.599
45000,12.599
45900,12.599
46800,12.599
47700,12.599
48600,12.599
49500,12.599
50400,12.599
51300,12.599
52200,12.599
53100,12.599
54000,12.599
54900,12.599
55800,12.599
56700,12.599
57600,12.599
58500,12.599
59400,12.599
60300,12.599
61200,12.599
62100,12.599
63000,12.599
63900,12.599
64800,12.599
65700,12.599
66600,12.599
67500,12.599
68400,12.599
69300,12.599
70200,12.599
71100,12.599
72000,12.599
72900,12.599
73800,12.599
74700,12.599
75600,12.599
76500,12.599
77400,12.599
78300,12.599
79200,12.599
80100,12.599
81000,12.599
81900,12.599
82800,12.599
83700,12.599
84600,12.599
85500,12.599
86400,12.599
87300,12.599
88200,12.599
89100,12.599
90000,12.599
90900,12.599
91800,12.599
92700,12.599
93600,12.599
94500,12.599
95400,12.599
96300,12.599
97200,12.599
98100,12.599
99000,12.599
99900,12.599
100800,12.599
101700,12.599
102600,12.599
103500,12.599
104400,12.599
105300,12.599
106200,12.599
107100,12.599
108000,12.599
108900,12.599
109800,12.599
110700,12.599
111600,12.599
112500,12.599
113400,12.599
114300,12.599
115200,12.599
116100,12.599
117000,12.599
117900,12.599
118800,12.599
119700,12.599
120600,12.599
121500,12.599
122400,12.599
123300,12.599
124200,12.599
125100,12.599
126000,12.599
126900,12.599
127800,12.599
128700,12.599
129600,12.599
130500,12.599
131400,12.599
132300,12.599
133200,12.599
134100,12.599
135000,12.599
135900,12.599
136800,12.599
137700,12.599
138600,12.599
139500,12.599
140400,12.599
141300,12.599
142200,12.599
143100,12.599
144000,12.599
144900,12.599
145800,12.599
146700,12.599
147600,12.599
148500,12.599
149400,12.599
150300,12.599
151200,12.599
152100,12.599
153000,12.599
153900,12.599
154800,12.599
155700,12.599
156600,12.599
157500,12.599
158400,12.599
159300,12.599
160200,12.599
161100,12.599
162000,12.599
162900,12.599
163800,12.599
164700,12.599
165600,12.599
166500,12.599
167400,12.599
168300,12.599
169200,12.599
170100,12.599
171000,12.599
171900,12.599
172800,12.599
173700,12.599
174600,12.599
175500,12.599
176400,12.599
177300,12.599
178200,12.599
179100,12.599
180000,12.599
180900,12.599
181800,12.599
182700,12.599
183600,12.599
184500,12.599
185400,12.599
186300,12.599
187200,12.599
188100,12.599
189000,12.599
189900,12.599
190800,12.599
191700,12.599
192600,12.599
193500,12.599
194400,12.599
195300,12.599
196200,12.599
197100,12.599
198000,12.599
198900,12.599
199800,12.599
200700,12.599
201600,12.599
202500,12.599
203400,12.599
204300,12.599
205200,12.599
206100,12.599
207000,12.599
207900,12.599
208800,12.599
209700,12.599
210600,12.599
211500,12.599
212400,12.599
213300,12.599
214200,12.599
215100,12.599
216000,12.599
216900,12.599
217800,12.599
218700,12.599
219600,12.599
220500,12.599
221400,12.599
222300,12.599
223200,12.599
224100,12.599
225000,12.599
225900,12.599
226800,12.599
227700,12.599
228600,12.599
229500,12.599
230400,12.599
231300,12.599
232200,12.599
233100,12.599
234000,12.599
234900,12.599
235800,12.599
236700,12.599
237600,12.599
238500,12.599
239400,12.599
240300,12.599
241200,12.599
242100,12.599
243000,12.599
243900,12.599
244800,12.599
245700,12.599
246600,12.599
247500,12.599
248400,12.599
249300,12.599
250200,12.599
251100,12.599
252000,12.599
252900,12.599
253800,12.599
