time,PriceElectricPowerHighlyDynamic
0,0.0339963
3600,0.0341915
7200,0.0349565
10800,0.0375862
14400,0.0387191
18000,0.0459669
21600,0.0446549
25200,0.0491394
28800,0.0482971
32400,0.0614567
36000,0.061322
39600,0.0517314
43200,0.0473504
46800,0.0434643
50400,0.0400984
54000,0.0391168
57600,0.0424885
61200,0.0643368
64800,0.0606711
68400,0.0529503
72000,0.0473372
75600,0.0431693
79200,0.0392555
82800,0.0350946
86400,0.0393076
90000,0.0386867
93600,0.0401205
97200,0.0396586
100800,0.0437838
104400,0.046666
108000,0.0628664
111600,0.06837
115200,0.0574953
118800,0.054319
122400,0.0537513
126000,0.0520206
129600,0.0501304
133200,0.0500765
136800,0.0454558
140400,0.0432645
144000,0.0397437
147600,0.0556534
151200,0.0455182
154800,0.0394094
158400,0.0295356
162000,0.0236276
165600,0.0190252
169200,0.0149109
172800,0.0127778
176400,0.009
180000,0.0112395
183600,0.0113016
187200,0.0161162
190800,0.0193001
194400,0.0281191
198000,0.0279562
201600,0.0264723
205200,0.0341797
208800,0.0483229
212400,0.0553841
216000,0.0459353
219600,0.0462823
223200,0.0463236
226800,0.048899
230400,0.0543577
234000,0.0750322
237600,0.0829073
241200,0.0698194
244800,0.0638937
248400,0.0617475
252000,0.0486153
255600,0.0462934
259200,0.0609571
262800,0.0557083
266400,0.0566582
270000,0.0561314
273600,0.0618149
277200,0.0701726
280800,0.0788123
284400,0.0958022
288000,0.0821123
291600,0.0793749
295200,0.0839092
298800,0.0790708
302400,0.0673207
306000,0.0640136
309600,0.0621968
313200,0.0597562
316800,0.0638686
320400,0.0798136
324000,0.0817441
327600,0.0720977
331200,0.0674054
334800,0.0652722
338400,0.0608875
342000,0.0504991
345600,0.0303168
349200,0.0249688
352800,0.0331802
356400,0.03561
360000,0.0413366
363600,0.0570501
367200,0.0667879
370800,0.0690055
374400,0.0675063
378000,0.0553698
381600,0.0498992
385200,0.04208
388800,0.0389142
392400,0.0372199
396000,0.0350808
399600,0.0339253
403200,0.033151
406800,0.0375046
410400,0.0358104
414000,0.0331008
417600,0.0296756
421200,0.027771
424800,0.0261528
428400,0.0243935
432000,0.0222915
435600,0.021061
439200,0.0214238
442800,0.0216494
446400,0.0246974
450000,0.0268207
453600,0.0316144
457200,0.0362917
460800,0.0340921
464400,0.0326511
468000,0.0280435
471600,0.0245765
475200,0.0207044
478800,0.0186696
482400,0.0175428
486000,0.016005
489600,0.0139822
493200,0.0150269
496800,0.0132082
500400,0.0072011
504000,0.0008746
507600,-0.0027802
511200,-0.0003439
514800,-0.0031986
518400,-0.0006966
522000,-0.0023064
525600,-0.002395
529200,0.0000014
532800,0.0073856
536400,0.0104795
540000,0.0126987
543600,0.0149138
547200,0.0157377
550800,0.0149417
554400,0.0147383
558000,0.0146985
561600,0.0141623
565200,0.010978
568800,0.0115599
572400,0.0119413
576000,0.0124195
579600,0.0217711
583200,0.0174895
586800,0.0159951
590400,0.0155382
594000,0.0154978
597600,0.0158481
601200,0.0144466
604800,0.0150941
608400,0.0151298
612000,0.015417
615600,0.0163523
619200,0.0177905
622800,0.0213374
626400,0.0270128
630000,0.0263284
633600,0.0267842
637200,0.0304506
640800,0.0304222
644400,0.0294751
648000,0.0257153
651600,0.0250098
655200,0.0228713
658800,0.0207618
662400,0.0203466
666000,0.0257858
669600,0.0204144
673200,0.0143049
676800,0.0097045
680400,0.0049917
684000,0.0035327
687600,0.0002747
691200,-0.0050465
694800,-0.0053312
698400,-0.005051
702000,-0.0049776
705600,-0.0032836
709200,-0.0024157
712800,0.0059083
716400,0.0066472
720000,0.0080629
723600,0.0139238
727200,0.0164533
730800,0.0147842
734400,0.0129292
738000,0.0114209
741600,0.0112796
745200,0.0112168
748800,0.0121035
752400,0.016853
756000,0.011054
759600,0.003897
763200,0.0024917
766800,0.0000062
770400,0.0030453
774000,-0.0030301
777600,-0.0095111
781200,-0.0102175
784800,-0.0056641
788400,-0.0058962
792000,-0.0051386
795600,-0.000702
799200,0.0039313
802800,0.0026512
806400,0.0022878
810000,0.006345
813600,0.0066721
817200,0.0049958
820800,0.0016408
824400,-0.0006088
828000,-0.0008223
831600,0.0000002
835200,-0.0009754
838800,0.0046612
842400,0.0052798
846000,0.0003402
849600,0.0000587
853200,-0.0024807
856800,-0.0037393
860400,-0.006422
864000,-0.0033773
867600,-0.0044946
871200,-0.0066216
874800,-0.0055362
878400,-0.0046587
882000,-0.0019914
885600,0.0025832
889200,0.0039029
892800,0.0030813
896400,0.0046953
900000,0.0049922
903600,0.0041186
907200,0.0037192
910800,0.0034005
914400,0.0074896
918000,0.0113146
921600,0.0154832
925200,0.0261677
928800,0.0255849
932400,0.0220461
936000,0.0225064
939600,0.0207804
943200,0.019
946800,0.0176165
950400,0.0241395
954000,0.024904
957600,0.0270552
961200,0.0283293
964800,0.0301351
968400,0.0339075
972000,0.0429054
975600,0.0467809
979200,0.0399414
982800,0.043205
986400,0.0418423
990000,0.0372045
993600,0.0334679
997200,0.0314833
1000800,0.030289
1004400,0.0299527
1008000,0.0323502
1011600,0.0427622
1015200,0.042663
1018800,0.037084
1022400,0.0345641
1026000,0.0310112
1029600,0.0305535
1033200,0.0278215
1036800,0.0335891
1040400,0.0312471
1044000,0.0328487
1047600,0.0341358
1051200,0.0377342
1054800,0.0391982
1058400,0.0420051
1062000,0.0484087
1065600,0.0517203
1069200,0.0531479
1072800,0.0494732
1076400,0.0475521
1080000,0.0451362
1083600,0.0413763
1087200,0.0383748
1090800,0.0345386
1094400,0.0357834
1098000,0.0482577
1101600,0.0447539
1105200,0.0355821
1108800,0.035126
1112400,0.0270063
1116000,0.0264
1119600,0.0191177
1123200,0.0183799
1126800,0.0177856
1130400,0.0188959
1134000,0.0183008
1137600,0.0215116
1141200,0.0221247
1144800,0.0229872
1148400,0.0295445
1152000,0.0302855
1155600,0.0356721
1159200,0.0319407
1162800,0.0320993
1166400,0.0284453
1170000,0.0271098
1173600,0.0251035
1177200,0.0235257
1180800,0.0262375
1184400,0.0395106
1188000,0.0330742
1191600,0.0222541
1195200,0.0169243
1198800,0.0135665
1202400,0.0124792
1206000,0.0098957
1209600,0.0130874
1213200,0.0110689
1216800,0.0124764
1220400,0.0100356
1224000,0.0123324
1227600,0.01284
1231200,0.0102104
1234800,0.0091175
1238400,0.0122713
1242000,0.0141662
1245600,0.0103845
1249200,0.0112349
1252800,0.0103182
1256400,0.0169482
1260000,0.0160416
1263600,0.0168868
1267200,0.0197283
1270800,0.0289225
1274400,0.0282474
1278000,0.0303036
1281600,0.0299996
1285200,0.0283966
1288800,0.0260309
1292400,0.0240698
1296000,0.0194115
1299600,0.0177855
1303200,0.0193493
1306800,0.0207061
1310400,0.0238257
1314000,0.0282022
1317600,0.0409181
1321200,0.0474356
1324800,0.0425701
1328400,0.0495298
1332000,0.0452003
1335600,0.0448935
1339200,0.040509
1342800,0.0414296
1346400,0.0389156
1350000,0.0390715
1353600,0.0442226
1357200,0.0645919
1360800,0.0655302
1364400,0.0555411
1368000,0.0481357
1371600,0.0449934
1375200,0.036491
1378800,0.0283688
1382400,0.022523
1386000,0.0180881
1389600,0.0172199
1393200,0.0158411
1396800,0.0161856
1400400,0.0197664
1404000,0.0292876
1407600,0.0296137
1411200,0.0239019
1414800,0.0253664
1418400,0.0230617
1422000,0.0213879
1425600,0.0178353
1429200,0.0164967
1432800,0.015854
1436400,0.0161284
1440000,0.0165472
1443600,0.0175739
1447200,0.0161653
1450800,0.0100776
1454400,0.0046916
1458000,0.0023134
1461600,-0.0012816
1465200,-0.0041014
1468800,0.0064101
1472400,0.0063098
1476000,0.0084274
1479600,0.0104535
1483200,0.0147164
1486800,0.0195297
1490400,0.0281032
1494000,0.0312037
1497600,0.0291587
1501200,0.0361621
1504800,0.033217
1508400,0.0280326
1512000,0.0221401
1515600,0.022001
1519200,0.0186735
1522800,0.0166204
1526400,0.0172864
1530000,0.0211736
1533600,0.0132774
1537200,0.006229
1540800,0.0023022
1544400,0.0005776
1548000,0.0015954
1551600,0.0008824
1555200,-0.0006048
1558800,0.0010079
1562400,0.0014922
1566000,0.0022166
1569600,0.0028136
1573200,0.0075677
1576800,0.0104148
1580400,0.0136316
1584000,0.0127922
1587600,0.0183776
1591200,0.0189834
1594800,0.0155054
1598400,0.0143362
1602000,0.0126146
1605600,0.0117174
1609200,0.0097342
1612800,0.0087737
1616400,0.0127785
1620000,0.0085084
1623600,0.0048139
1627200,0.0020682
1630800,0.0013118
1634400,0.0031198
1638000,0.0029336
1641600,0.0031319
1645200,0.0036968
1648800,0.0048176
1652400,0.0065491
1656000,0.0102675
1659600,0.0143946
1663200,0.0161154
1666800,0.0187117
1670400,0.0204106
1674000,0.0249965
1677600,0.023404
1681200,0.0220366
1684800,0.0211946
1688400,0.0193521
1692000,0.0185225
1695600,0.0173898
1699200,0.0176146
1702800,0.0207407
1706400,0.0183712
1710000,0.0145469
1713600,0.0106889
1717200,0.0080095
1720800,0.0047471
1724400,0.0026482
1728000,0.0088651
1731600,0.0087513
1735200,0.0095525
1738800,0.0094581
1742400,0.0102936
1746000,0.0122469
1749600,0.013
1753200,0.0140758
1756800,0.0152829
1760400,0.0165567
1764000,0.0159318
1767600,0.0152904
