time,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic,PriceDistrictHeatingPower,PriceGasPower,PriceBiomassPower,PriceSolarThermalPower
0.0,0.2,0.1,0.0,0.1,0.07,0.2,0.0
900.0,0.2,0.1,0.019620938769042917,0.1,0.07,0.2,0.0
1800.0,0.2,0.1,0.03915785766601547,0.1,0.07,0.2,0.0
2700.0,0.2,0.1,0.05852709660483848,0.1,0.07,0.2,0.0
3600.0,0.2,0.1,0.07764571353075622,0.1,0.07,0.2,0.0
4500.0,0.2,0.1,0.09643183959094848,0.1,0.07,0.2,0.0
5400.0,0.2,0.1,0.11480502970952693,0.1,0.07,0.2,0.0
6300.0,0.2,0.1,0.13268660706570037,0.1,0.07,0.2,0.0
7200.0,0.2,0.1,0.14999999999999997,0.1,0.07,0.2,0.0
8100.0,0.2,0.1,0.16667106990588063,0.1,0.07,0.2,0.0
9000.0,0.2,0.1,0.1826284287026162,0.1,0.07,0.2,0.0
9900.0,0.2,0.1,0.19780374453002067,0.1,0.07,0.2,0.0
10800.0,0.2,0.1,0.21213203435596426,0.1,0.07,0.2,0.0
11700.0,0.2,0.1,0.2255519422436932,0.1,0.07,0.2,0.0
12600.0,0.2,0.1,0.23800600208737055,0.1,0.07,0.2,0.0
13500.0,0.2,0.1,0.24944088369076356,0.1,0.07,0.2,0.0
14400.0,0.2,0.1,0.25980762113533157,0.1,0.07,0.2,0.0
15300.0,0.2,0.1,0.2690618224598065,0.1,0.07,0.2,0.0
16200.0,0.2,0.1,0.277163859753386,0.1,0.07,0.2,0.0
17100.0,0.2,0.1,0.28407903884853164,0.1,0.07,0.2,0.0
18000.0,0.2,0.1,0.2897777478867205,0.1,0.07,0.2,0.0
18900.0,0.2,0.1,0.2942355841209691,0.1,0.07,0.2,0.0
19800.0,0.2,0.1,0.2974334584121431,0.1,0.07,0.2,0.0
20700.0,0.2,0.1,0.29935767697158105,0.1,0.07,0.2,0.0
21600.0,0.2,0.1,0.3,0.1,0.07,0.2,0.0
22500.0,0.2,0.1,0.29935767697158105,0.1,0.07,0.2,0.0
23400.0,0.2,0.1,0.2974334584121431,0.1,0.07,0.2,0.0
24300.0,0.2,0.1,0.2942355841209691,0.1,0.07,0.2,0.0
25200.0,0.2,0.1,0.2897777478867205,0.1,0.07,0.2,0.0
26100.0,0.2,0.1,0.2840790388485317,0.1,0.07,0.2,0.0
27000.0,0.2,0.1,0.27716385975338603,0.1,0.07,0.2,0.0
27900.0,0.2,0.1,0.2690618224598065,0.1,0.07,0.2,0.0
28800.0,0.2,0.3,0.2598076211353316,0.1,0.07,0.2,0.0
29700.0,0.2,0.3,0.24944088369076353,0.1,0.07,0.2,0.0
30600.0,0.2,0.3,0.2380060020873706,0.1,0.07,0.2,0.0
31500.0,0.2,0.3,0.2255519422436932,0.1,0.07,0.2,0.0
32400.0,0.2,0.3,0.21213203435596437,0.1,0.07,0.2,0.0
33300.0,0.2,0.3,0.19780374453002067,0.1,0.07,0.2,0.0
34200.0,0.2,0.3,0.18262842870261625,0.1,0.07,0.2,0.0
35100.0,0.2,0.3,0.16667106990588065,0.1,0.07,0.2,0.0
36000.0,0.2,0.3,0.14999999999999997,0.1,0.07,0.2,0.0
36900.0,0.2,0.3,0.13268660706570037,0.1,0.07,0.2,0.0
37800.0,0.2,0.3,0.11480502970952697,0.1,0.07,0.2,0.0
38700.0,0.2,0.3,0.09643183959094852,0.1,0.07,0.2,0.0
39600.0,0.2,0.3,0.07764571353075617,0.1,0.07,0.2,0.0
40500.0,0.2,0.3,0.058527096604838444,0.1,0.07,0.2,0.0
41400.0,0.2,0.3,0.039157857666015594,0.1,0.07,0.2,0.0
42300.0,0.2,0.3,0.019620938769042934,0.1,0.07,0.2,0.0
43200.0,0.2,0.3,-9.648735898059819e-17,0.1,0.07,0.2,0.0
44100.0,0.2,0.3,-0.019620938769042858,0.1,0.07,0.2,0.0
45000.0,0.2,0.3,-0.03915785766601553,0.1,0.07,0.2,0.0
45900.0,0.2,0.3,-0.058527096604838375,0.1,0.07,0.2,0.0
46800.0,0.2,0.3,-0.07764571353075624,0.1,0.07,0.2,0.0
47700.0,0.2,0.3,-0.09643183959094846,0.1,0.07,0.2,0.0
48600.0,0.2,0.3,-0.11480502970952701,0.1,0.07,0.2,0.0
49500.0,0.2,0.3,-0.1326866070657002,0.1,0.07,0.2,0.0
50400.0,0.2,0.3,-0.1499999999999999,0.1,0.07,0.2,0.0
