Time,dh.qdh
0,0
900,15423.672
1800,10687.361
2700,7519.2573
3600,6646.9424
4500,6594.125
5400,6801.927
6300,7068.68
7200,7319.165
8100,7534.9897
9000,7725.216
9900,7894.1787
10800,8051.189
10800,8051.189
11700,221512.86
12600,177562.66
13500,159423.7
14400,151633.14
15300,147667.3
16200,145201.89
17100,143697.83
18000,142503.11
18900,141456.44
19800,140482.78
20700,139565.22
21600,138692.7
22500,137857.14
23400,137052.92
24300,136276.02
25200,135523.5
26100,134913.27
27000,134465.98
27900,134023.33
28800,133474.81
29700,132829.11
30600,132174.22
31500,131497.94
32400,130795.805
33300,130038.086
34200,129235.77
35100,128450.93
36000,127731.055
36900,127026.62
37800,126367.15
38700,125893.195
39600,125708.02
40500,125932.93
41400,126397.34
42300,126806.61
43200,126934.625
44100,126831.516
45000,126728.695
45900,126625.44
46800,126532.18
47700,126409.66
48600,126294.96
49500,126294.23
50400,126539.234
51300,127171.414
52200,128013.8
53100,128759.79
54000,129170.23
54900,129302.805
55800,129366.93
56700,129300.984
57600,129101.2
58500,129087.8
59400,129028.52
60300,128142.75
61200,125775.88
62100,122042.26
63000,117300.38
63900,111201.97
64800,103637.53
65700,94937.3
66600,86056.94
67500,78584.52
68400,74239.78
68400,74239.78
69300,341.56064
70200,349.80237
71100,353.87625
72000,356.76755
72900,359.16724
73800,361.36926
74700,363.49765
75600,365.94186
76500,367.725
77400,440.15805
78300,950.96173
79200,1625.4834
80100,2145.7632
81000,2480.6663
81900,2716.2505
82800,2953.4268
83700,3208.635
84600,3479.2937
85500,3755.4287
86400,4036.4453
87300,4317.1265
88200,4586.3716
89100,4841.1157
90000,5079.883
90900,5298.043
91800,5494.794
92700,5683.3906
93600,5877.4565
94500,6074.3135
95400,6266.842
96300,6451.676
97200,6628.3887
97200,6628.3887
98100,6790.3926
98100,6790.3926
99000,6945.11
99000,6945.11
99900,7097.066
99900,7097.066
100800,7245.824
100800,7245.824
101700,7391.1333
101700,7391.1333
102600,7533.25
102600,7533.25
103500,7672.422
103500,7672.422
104400,7801.5605
104400,7801.5605
105300,222339.14
105300,222339.14
106200,182703.23
106200,182703.23
107100,167285.25
107100,167285.25
108000,160463.42
108000,160463.42
108900,156529.75
108900,156529.75
109800,154730.08
109800,154730.08
110700,153543.38
110700,153543.38
111600,152621.77
111600,152621.77
112500,151646.81
112500,151646.81
113400,150705.64
113400,150705.64
114300,150314.77
114300,150314.77
115200,150889.38
115200,150889.38
116100,151962.81
116100,151962.81
117000,152839.83
117000,152839.83
117900,153670.77
117900,153670.77
118800,154507.75
118800,154507.75
119700,155355.84
119700,155355.84
120600,156205.83
120600,156205.83
121500,157049.17
121500,157049.17
122400,157895.78
122400,157895.78
123300,158745.3
123300,158745.3
124200,159581.98
124200,159581.98
125100,160396.7
125100,160396.7
126000,161186.92
126000,161186.92
126900,160446.72
126900,160446.72
127800,157694.02
127800,157694.02
128700,154576.27
128700,154576.27
129600,152323.48
129600,152323.48
130500,150810.08
130500,150810.08
131400,149072.52
131400,149072.52
132300,147197.78
132300,147197.78
133200,145195.06
133200,145195.06
134100,142573.67
134100,142573.67
135000,139472.08
135000,139472.08
135900,136695.92
135900,136695.92
136800,134786.83
136800,134786.83
137700,132962.25
137700,132962.25
138600,129847.38
138600,129847.38
139500,124888.47
139500,124888.47
140400,116675.195
140400,116675.195
141300,102483.164
141300,102483.164
142200,78068.32
142200,78068.32
143100,40644.168
143100,40644.168
144000,364.278
144000,364.278
144900,336.81665
144900,336.81665
145800,342.4897
145800,342.4897
146700,6228.934
146700,6228.934
147600,26856.541
147600,26856.541
148500,63468.254
148500,63468.254
149400,95953.73
149400,95953.73
150300,109656.91
150300,109656.91
151200,113274.09
151200,113274.09
152100,114701.125
152100,114701.125
153000,114899.99
153000,114899.99
153900,114053.336
153900,114053.336
154800,112439.805
154800,112439.805
155700,311.38052
155700,311.38052
156600,324.9469
156600,324.9469
157500,331.84186
157500,331.84186
158400,337.01126
158400,337.01126
159300,341.4293
159300,341.4293
160200,345.29068
160200,345.29068
161100,348.65604
161100,348.65604
162000,351.91873
162000,351.91873
162900,353.82098
162900,353.82098
163800,483.43854
163800,483.43854
164700,998.3734
164700,998.3734
165600,1554.0382
165600,1554.0382
166500,1974.681
166500,1974.681
167400,2252.382
167400,2252.382
168300,2464.3706
168300,2464.3706
169200,2692.7922
169200,2692.7922
170100,2980.0251
170100,2980.0251
171000,3324.503
171000,3324.503
171900,3701.7178
171900,3701.7178
172800,4081.4487
172800,4081.4487
173700,4444.3774
173700,4444.3774
174600,4785.0044
174600,4785.0044
