time,hvac_floor1_duaFanAirHanUnit_mixingBox_oveEcoDam_activate,hvac_floor1_duaFanAirHanUnit_mixingBox_oveEcoDam_u,hvac_floor1_duaFanAirHanUnit_supFan_variableSpeed_ovePreSetPoi_activate,hvac_floor1_duaFanAirHanUnit_supFan_variableSpeed_ovePreSetPoi_u,hvac_floor1_duaFanAirHanUnit_supFan_variableSpeed_oveSpeSup_activate,hvac_floor1_duaFanAirHanUnit_supFan_variableSpeed_oveSpeSup_u,hvac_floor2_duaFanAirHanUnit_mixingBox_oveEcoDam_activate,hvac_floor2_duaFanAirHanUnit_mixingBox_oveEcoDam_u,hvac_floor2_duaFanAirHanUnit_supFan_variableSpeed_ovePreSetPoi_activate,hvac_floor2_duaFanAirHanUnit_supFan_variableSpeed_ovePreSetPoi_u,hvac_floor2_duaFanAirHanUnit_supFan_variableSpeed_oveSpeSup_activate,hvac_floor2_duaFanAirHanUnit_supFan_variableSpeed_oveSpeSup_u,hvac_floor3_duaFanAirHanUnit_mixingBox_oveEcoDam_activate,hvac_floor3_duaFanAirHanUnit_mixingBox_oveEcoDam_u,hvac_floor3_duaFanAirHanUnit_supFan_variableSpeed_ovePreSetPoi_activate,hvac_floor3_duaFanAirHanUnit_supFan_variableSpeed_ovePreSetPoi_u,hvac_floor3_duaFanAirHanUnit_supFan_variableSpeed_oveSpeSup_activate,hvac_floor3_duaFanAirHanUnit_supFan_variableSpeed_oveSpeSup_u,hvac_oveFloor1TDisAir_activate,hvac_oveFloor1TDisAir_u,hvac_oveFloor2TDisAir_activate,hvac_oveFloor2TDisAir_u,hvac_oveFloor3TDisAir_activate,hvac_oveFloor3TDisAir_u,hvac_oveTCHWSet_activate,hvac_oveTCHWSet_u,hvac_oveTHWSet_activate,hvac_oveTHWSet_u,hvac_reaPBoi_y,hvac_reaPCHWPum_y,hvac_reaPChi_y,hvac_reaPCooTow_y,hvac_reaPFan_y,hvac_reaPHWPum_y
15552000.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,286.03,0.0,286.03,0.0,286.03,0.0,278.71,0.0,353.15,0.0,1044.350526068667,0.00044381343250531573,0.0,-7.403103472508846e-08,-1860.054169418604
15552030.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,298514.19799327175,39457.89713903379,3806.816216252553,0.0,-2.1554663063513513e-07,458.5944696219721
15552060.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,305534.82854046614,45004.87621241504,5473.96035456372,10000.0,-2.153560483241604e-07,368.6462749016746
15552090.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,308122.30652524746,54268.92622520914,5436.925147642423,0.0,-2.1532922329123666e-07,315.5401316279768
15552120.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,310462.54320502834,87576.43113425704,5267.224758261144,0.0,-2.1531328276339e-07,302.00534738062424
15552150.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,312765.14013409294,102040.23179925488,5140.541774963724,0.0,-2.1529808406402295e-07,301.61608236940594
15552180.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,315038.80775403016,105517.35787440436,5091.6168898424885,0.0,-2.1528293981280112e-07,301.6170453955284
15552210.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,317284.1245798254,105896.24382078266,5073.051685360537,0.0,-2.152677812141526e-07,301.63216787495736
15552240.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,319501.45404135145,105945.37990084327,5063.343430478637,0.0,-2.1525263613605488e-07,301.6432170628084
15552270.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,321691.138250233,105952.39774472329,5056.19672164732,0.0,-2.1523749719628568e-07,301.6502185315562
15552300.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,323853.54952877073,105953.33676839992,5049.845022895548,0.0,-2.152223497272082e-07,301.6545118416257
15552330.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,325988.99333293445,105953.48538615255,5043.758511837224,0.0,-2.1520719746841875e-07,301.6571276391735
15552360.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,328097.84192970383,105953.5095562635,5037.787174255159,0.0,-2.1519207106379122e-07,301.6587145273603
15552390.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,330180.3347230498,105953.51816701294,5031.883198922076,0.0,-2.1517692288321245e-07,301.6596791025917
15552420.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,332236.85054317967,105953.52429271408,5026.03220591996,0.0,-2.1516178282565435e-07,301.6602643047903
15552450.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,334267.55123270425,105953.53014819254,5020.229154320127,0.0,-2.1500223925586158e-07,301.66061859480067
15552480.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,336272.82304266293,105953.53597097535,5014.471724618323,0.0,-2.1464418786757796e-07,301.6608339286654
15552510.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,338252.7398536847,105953.54177452522,5008.759002644983,0.0,-2.1428745567924356e-07,301.6609648814708
15552540.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,340207.7332865366,105953.54754290883,5003.089820993825,0.0,-2.139316900828903e-07,301.66104484761314
15552570.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0,286.03,1.0,286.03,1.0,286.03,1.0,278.71,0.0,353.15,342137.776863,105953.55325162719,4997.463796019702,0.0,-2.1357692853854824e-07,301.6610927509431
